Tid juli,Verdi juli,Tid august,Verdi august,Tid september,Verdi september
31. juli 2022 kl. 01:00,37.80,31. august 2022 kl. 01:00,22.80,,24708.20
31. juli 2022 kl. 02:00,38.00,31. august 2022 kl. 02:00,22.00,,
31. juli 2022 kl. 03:00,31.00,31. august 2022 kl. 03:00,25.20,,
31. juli 2022 kl. 04:00,34.80,31. august 2022 kl. 04:00,23.60,,
31. juli 2022 kl. 05:00,36.00,31. august 2022 kl. 05:00,24.80,,
31. juli 2022 kl. 06:00,30.40,31. august 2022 kl. 06:00,31.80,,
31. juli 2022 kl. 07:00,34.20,31. august 2022 kl. 07:00,31.00,,
31. juli 2022 kl. 08:00,37.60,31. august 2022 kl. 08:00,26.40,,
31. juli 2022 kl. 09:00,38.80,31. august 2022 kl. 09:00,24.40,,
31. juli 2022 kl. 10:00,43.20,31. august 2022 kl. 10:00,23.80,,
31. juli 2022 kl. 11:00,31.60,31. august 2022 kl. 11:00,27.80,,
31. juli 2022 kl. 12:00,32.20,31. august 2022 kl. 12:00,30.80,,
31. juli 2022 kl. 13:00,49.60,31. august 2022 kl. 13:00,33.20,,
31. juli 2022 kl. 14:00,49.80,31. august 2022 kl. 14:00,34.60,,
31. juli 2022 kl. 15:00,48.80,31. august 2022 kl. 15:00,40.00,,
31. juli 2022 kl. 16:00,50.40,31. august 2022 kl. 16:00,34.20,,
31. juli 2022 kl. 17:00,50.40,31. august 2022 kl. 17:00,35.40,,
31. juli 2022 kl. 18:00,56.60,31. august 2022 kl. 18:00,42.60,,
31. juli 2022 kl. 19:00,55.20,31. august 2022 kl. 19:00,38.40,,
31. juli 2022 kl. 20:00,38.00,31. august 2022 kl. 20:00,37.60,,
31. juli 2022 kl. 21:00,41.80,31. august 2022 kl. 21:00,42.00,,
31. juli 2022 kl. 22:00,35.40,31. august 2022 kl. 22:00,37.40,,
31. juli 2022 kl. 23:00,30.60,31. august 2022 kl. 23:00,31.60,,
,,,,,
,31866.80,,26817.40,,
